km,Paparoa,Kaukau,TotaraFlats,MtVic,TongariroCrossing,GreytownMartinborough,Greytown,RemutakaRailTrail,ColonialKnob,WLGKapiti,PaekakarikiEscarpment,LakeWaikaremoana,HeaphyTrack,RouteburnTrack,TongariroNorthernCircuit,KeplerTrack,MilfordTrack,RakiuraTrack,BlueHut
0,324.6,179.5,309.7,17.5,1129.3,49.6,57.2,256.4,82.4,15,85,601,140,483,1140,215,215,7,329
0.1,322.7,179.1,309.2,13.9,1134.8,50,56.6,258,89.6,11,88,610,138,484,1150,213,223,12,330
0.2,331.1,185.2,307.7,12.8,1138.7,50.6,55.6,260.8,86.4,12,95,622,142,483,1159,213,223,15,333
0.3,322.2,187.3,312.4,13.6,1139.7,50,57.4,264.2,95.6,12,97,628,138,493,1160,211,222,25,336
0.4,316.4,204.6,318,4.9,1140.4,48.4,57.4,257,94.4,12,100,632,138,509,1161,205,218,26,337
0.5,308,212.2,329.3,4.1,1146.2,48,55.6,257.8,105.6,11,96,635,144,511,1160,206,222,11,339
0.6,293,217.5,328.9,10.3,1150.7,49,54,254,106.2,11,96,632,144,502,1162,213,236,9,347
0.7,286.3,225.1,326.9,3.9,1157.7,47.8,53.8,258,110,11,84,648,148,526,1164,214,239,7,354
0.8,283.8,236.1,334.7,5.6,1160.8,46.2,53.4,263.2,114,11,78,674,142,515,1169,214,237,21,352
0.9,273.2,254.2,340,4.5,1163,47.2,51.4,261.6,119,11,74,695,149,506,1176,213,241,30,374
1,258.5,273,339.4,5.6,1168.9,50.2,51.4,256.8,130.4,11,72,723,154,508,1189,214,238,24,391
1.1,254.9,297.7,343.1,5.2,1170.1,49,49,254.2,134.2,12,73,741,167,508,1187,210,224,16,426
1.2,250.4,330,346.6,4.7,1171.5,48.2,51.2,254,134.2,10,67,787,168,520,1194,205,212,13,458
1.3,257.1,357.2,354.4,4.3,1173.4,48,50.4,256.4,141.2,11,70,817,182,515,1202,217,215,19,488
1.4,266.9,368.9,371.4,10.9,1181.6,47.6,49,253.2,142.6,11,66,847,188,501,1202,217,215,9,513
1.5,266.7,380.7,383.2,10.8,1185.1,47,50,255,141.4,8,65,873,194,519,1212,227,215,14,540
1.6,275.3,392.3,397.1,12.6,1187.9,48.2,50.6,250.2,144,12,69,895,203,540,1213,226,227,23,571
1.7,280.1,402,406.2,14,1193,51.4,50.2,251,147.8,8,64,942,209,540,1221,225,221,34,622
1.8,289.8,406.2,418.6,8.5,1197.6,54.4,50,252.6,145.6,10,63,961,219,549,1221,241,222,38,659
1.9,286.8,424.6,440.2,12.9,1202.5,52.8,50.6,253.2,150.4,10,60,954,228,571,1221,238,225,46,683
2,292.5,430.2,459.7,8.3,1204.5,53,48,253,165.8,10,59,955,236,582,1211,236,228,46,712
2.1,296.8,419.2,476.4,8.5,1202.1,52.6,47,252,169,7,60,965,256,591,1211,238,225,45,749
2.2,307.1,409.8,485.1,6.1,1204.7,50.4,46.2,253,176,8,76,971,260,599,1222,229,230,44,772
2.3,304.5,396.5,505.2,6.5,1215,51.2,45.8,254.6,193.6,7,81,963,271,593,1231,229,226,34,787
2.4,279.9,389.8,509,6.3,1237.3,51.4,46.6,255,202,9,80,997,278,609,1240,231,231,21,818
2.5,274.5,378.6,525.8,5.5,1246.8,53,45.4,254.2,215,9,70,1006,292,623,1250,231,229,6,822
2.6,264.2,362.4,531.9,6.6,1257.5,53.8,46.8,257.8,231,8,68,1017,295,594,1256,232,231,6,840
2.7,268.6,345.9,545.2,33.5,1264.3,51.6,48,257.2,245.6,10,79,1026,296,627,1276,231,227,6,860
2.8,266.7,310.8,559.8,54.8,1274.5,51.6,47.2,254.4,254.2,10,85,1045,323,639,1285,236,224,6,880
2.9,275,282,568.3,55.4,1277.3,47.8,46.2,256.8,267.4,10,111,1066,331,655,1305,231,229,6,921
3,279,255.3,588.2,50.9,1307,46.2,48.8,258,277.8,7,99,1090,320,662,1314,235,234,8,947
3.1,286.3,235.3,604.9,58.1,1306.4,46.2,49.4,259.4,287.8,9,74,1102,322,648,1322,231,234,14,967
3.2,282.3,225.4,616.2,75.9,1309,50,50.4,261.2,287.2,9,69,1124,350,660,1333,222,230,19,962
3.3,288.1,219.2,616,88.8,1312.7,49.4,50,261.8,302.6,9,104,1118,347,664,1346,225,233,12,946
3.4,303.2,210.8,622.6,74.9,1319.6,49.2,51.6,261.8,313.8,9,108,1170,366,669,1344,227,239,10,931
3.5,307.5,205.7,628.1,83.6,1322.5,49,50.6,256.2,324.8,9,109,1172,356,669,1333,226,239,9,903
3.6,314.4,189.6,641.5,73.9,1329,47.6,50.8,258.6,338,9,97,1158,367,679,1319,229,232,7,894
3.7,311.8,186.2,652.8,92.9,1329.7,51.4,50.6,258.6,340.8,9,76,1159,385,676,1318,228,234,9,913
3.8,315.1,186.3,661.4,120.8,1331.1,50.6,52,258.8,347.6,9,95,1166,385,688,1314,228,223,7,938
3.9,315.1,,676.1,130.6,1329.9,49.8,54,258.8,353.6,9,143,1160,381,688,1308,224,218,7,951
4,322.4,,688.9,138.4,1340.5,49,54,256.6,361.4,9,146,1168,384,679,1288,230,220,6,967
4.1,329.5,,698.3,134.1,1346.3,48.8,54.8,256.8,368.8,9,144,1168,407,689,1283,239,230,8,965
4.2,334,,715.8,143.8,1346.9,48.4,53.6,252.8,363.8,9,132,1153,405,689,1283,232,227,12,926
4.3,338,,729.9,173.6,1348,47.4,51.8,255,370.8,9,142,1134,419,692,1290,239,227,22,890
4.4,337.9,,732.2,182.8,1352.2,47.8,50.2,262,376.8,9,127,1110,415,688,1293,233,230,26,867
4.5,342.1,,733.3,186.7,1354.8,45.8,49.4,265.4,380.8,9,119,1114,426,696,1292,232,225,33,840
4.6,353,,738,181.3,1366.1,44.2,48.6,266.2,386.2,9,103,1117,419,707,1295,237,218,43,822
4.7,357.7,,743.9,192.2,1366.6,50.6,49.4,266.4,396.8,9,96,1134,423,699,1296,234,226,49,824
4.8,361.8,,747.5,180.1,1377.6,52.4,49.6,262.6,405.4,9,87,1135,436,692,1294,225,222,42,813
4.9,377.3,,753.3,183.5,1405.7,56.8,52.2,264.4,403.2,9,93,1145,425,692,1298,227,223,25,777
5,379.3,,754.4,180.2,1422.9,57,52.6,264.8,411.8,9,100,1143,429,698,1303,225,228,9,762
5.1,385.7,,750.2,170.7,1425.7,51.6,51,263.8,408.4,9,120,1150,429,702,1305,227,229,6,723
5.2,391.7,,761,163.6,1443.7,49.2,50.8,264.4,411.6,9,159,1135,449,713,1309,226,230,16,704
5.3,403.8,,759.4,152.2,1452,49.4,53.8,265.8,416,9,181,1142,449,709,1311,229,225,14,678
5.4,416.8,,748.4,151,1469.1,49.8,57,265.4,421.6,9,207,1158,453,713,1316,227,226,16,642
5.5,419.5,,747.4,129.9,1516.8,49.4,56.6,268,425.8,9,214,1158,455,716,1310,225,228,18,598
5.6,429.9,,746.9,119.8,1533.8,49,55.8,271,428,9,220,1163,470,715,1303,230,229,16,553
5.7,444.1,,728.5,99.5,1548.4,48.8,59.8,273.6,432.8,9,210,1137,466,711,1294,233,231,24,527
5.8,450.7,,713.3,73.4,1572.9,45.6,57.6,275.8,433.6,9,207,1119,467,702,1297,233,230,21,501
5.9,460.2,,695.4,54.9,1587.7,45,56,283.2,454.4,9,188,1096,474,696,1301,227,231,22,473
6,465.8,,679.4,38.8,1596.2,44.2,56.8,287.8,441.8,9,178,1108,485,704,1320,222,236,19,446
6.1,479.6,,664.2,27.8,1627.5,43.6,56.4,285.6,435,9,152,1095,471,710,1323,227,241,27,416
6.2,486.9,,649.9,19,1643.9,41.6,59,282,446,9,134,1106,471,710,1328,226,241,28,374
6.3,490.5,,636.8,12.1,1650.3,44.2,59.6,281,431.2,9,114,1138,482,711,1330,225,255,12,356
6.4,499.6,,624.7,10,1653.8,48.8,58.6,281,421.4,9,95,1119,507,710,1331,228,250,24,352
6.5,508.4,,601.1,8.5,1660.6,47,58.4,272,423.4,9,76,1108,506,724,1327,234,249,32,350
6.6,516,,564.1,8.6,1668.5,46.6,60,279,410.4,9,59,1095,522,743,1327,239,247,36,343
6.7,530.2,,549.1,9.9,1669.1,46,60.6,284.8,390.4,9,27,1106,511,768,1330,260,251,35,339
6.8,538.6,,528.5,10.7,1662.6,45.4,61.6,286.2,381.6,9,14,1122,509,799,1307,271,253,53,336
6.9,544.9,,496.1,15.6,1660.5,44.6,61.6,289.4,354,9,16,1136,521,822,1290,280,256,57,336
7,558,,494,13.1,1660.3,44.2,61.8,291.8,346,9,17,1137,534,848,1283,289,256,67,330
7.1,565.9,,497.9,12.9,1657.2,44.2,62.6,286.2,337.8,9,23,1147,542,845,1280,301,258,80,329
7.2,572.6,,514.5,14.3,1657.1,42.6,65.6,284,326,9,21,1143,553,871,1279,310,255,83,323
7.3,578.5,,522.3,12.2,1660.4,43,67.4,272.4,305,9,24,1135,552,867,1272,325,253,76,
7.4,593,,532.7,13.5,1661,43.8,66.2,277,301.4,9,36,1139,565,869,1267,345,259,68,
7.5,602.8,,538.6,20,1678.4,42.4,70.6,277.4,287.8,9,58,1127,579,847,1268,364,263,67,
7.6,615.3,,551.4,14.7,1681,43,70.6,283.2,277.4,9,55,1122,568,869,1264,367,258,59,
7.7,623.2,,561.6,16.5,1693.1,42.4,68.8,278.8,252.6,9,54,1123,586,881,1258,381,252,57,
7.8,634.4,,569.1,12.9,1715.1,43,68,290.6,229,9,42,1107,616,915,1250,389,260,52,
7.9,637.5,,577,13.1,1731.3,44.2,66.2,291.4,205.4,9,37,1124,599,922,1248,404,252,50,
8,650,,574.9,,1770.5,43.6,67.4,292.6,182.8,9,32,1132,598,930,1248,431,254,48,
8.1,663.3,,564.3,,1811,51.2,68.4,294.2,133.6,9,32,1132,591,920,1243,435,260,23,
8.2,666,,567.2,,1835.4,49.2,69.8,297.2,141.8,4,31,1135,621,929,1239,450,258,17,
8.3,680.8,,565.1,,1836.5,47.6,69.8,308,131,4,24,1129,637,955,1237,469,263,19,
8.4,693,,572.7,,1839.8,44.2,70.6,313,118.2,8,26,1121,651,966,1231,487,272,25,
8.5,695.7,,576.9,,1830.9,45.6,72.2,318.6,117.6,7,22,1132,644,959,1228,501,260,32,
8.6,704.8,,574.5,,1828.3,46.4,72.8,323.8,129.6,10,24,1178,649,963,1223,511,277,21,
8.7,712.5,,559.4,,1805.2,47.6,72.6,315.4,111.2,12,18,1185,663,991,1218,524,272,14,
8.8,722.3,,536.5,,1769.9,49.2,73.6,313,100.6,14,20,1170,666,988,1213,556,280,30,
8.9,741.1,,514.4,,1747.1,50.4,75.8,320.8,90,20,24,1160,671,1011,1207,558,282,34,
9,739.8,,486.9,,1727,52.8,78.2,320.6,88.4,28,26,1147,685,1035,1197,572,274,36,
9.1,748.7,,472.7,,1710.3,54.8,77.6,332.2,86.2,34,18,1143,694,1052,1197,579,271,12,
9.2,761.9,,447.1,,1704.2,56.6,77.2,335.2,,44,17,1153,694,1069,1193,591,268,6,
9.3,759.5,,416.2,,1701.1,57.4,77.4,335.4,,50,14,1160,718,1076,1184,611,273,2,
9.4,771,,389.9,,1700.6,56.4,77.2,339,,60,14,1162,724,1075,1181,622,276,1,
9.5,784.6,,362.2,,1698.8,57,78.4,337.2,,66,17,1146,718,1071,1176,630,285,1,
9.6,794.4,,330.2,,1697.8,58.8,76.2,336.8,,75,15,1136,729,1092,1169,649,280,5,
9.7,804.7,,326.3,,1725.3,57,75.4,334.6,,79,12,1132,721,1131,1166,668,285,2,
9.8,812.1,,331.9,,1731.1,56.2,79.2,336.6,,87,9,1112,725,1160,1161,673,296,6,
9.9,827.3,,325.9,,1738.5,56.4,81.4,344,,94,,1103,742,1181,1161,696,305,8,
10,840,,319.4,,1734.3,57.2,83.8,346.4,,101,,1092,752,1196,1157,707,301,19,
10.1,838.6,,296.2,,1733.1,61,85.4,348.4,,107,,1105,754,1200,1153,727,310,30,
10.2,853.6,,277.4,,1735.9,65.2,84,357.6,,119,,1091,769,1204,1150,749,309,40,
10.3,867.4,,268.4,,1737,67.6,84.8,352,,125,,1075,766,1213,1149,758,311,61,
10.4,874.8,,258.4,,1752.6,72,84.6,348,,130,,1068,763,1209,1147,770,323,79,
10.5,882.4,,247.4,,1744.8,73.2,86,347.6,,132,,1080,745,1202,1148,780,315,93,
10.6,892.8,,242.1,,1739.6,76.8,86.2,350.8,,132,,1081,775,1200,1140,789,315,99,
10.7,902,,232.5,,1738.7,76.4,89.4,353,,132,,1080,804,1187,1142,798,314,95,
10.8,912.3,,234,,1731.7,77.6,92.2,354,,133,,1088,783,1176,1139,827,311,110,
10.9,919.4,,229.5,,1722.5,75.6,94.4,351.4,,139,,1077,825,1152,1139,844,309,119,
11,933.1,,225.3,,1714,74.8,92.2,353.2,,135,,1078,814,1116,1133,853,313,125,
11.1,929.5,,222,,1704.8,73.2,92.8,365.6,,136,,1090,818,1078,1134,870,314,129,
11.2,944.9,,218.3,,1690.7,74.4,91.2,359.8,,134,,1096,825,1094,1139,880,311,125,
11.3,953.4,,214.3,,1674.2,72,89.4,349.4,,136,,1091,829,1106,1143,901,313,122,
11.4,963.2,,213.6,,1673.6,68.4,86.8,347,,135,,1060,836,1116,1139,908,310,92,
11.5,973.8,,203.1,,1666.7,62.6,85,351.6,,136,,1068,827,1118,1134,938,312,71,
11.6,981.6,,215.5,,1646.4,59.8,84.2,347.2,,138,,1064,830,1111,1130,956,312,57,
11.7,991.9,,209,,1651.1,58.4,83.4,346.2,,141,,1057,842,1116,1127,974,318,54,
11.8,1000,,209.05,,1622.4,56,83.2,345.4,,146,,1041,855,1119,1121,984,315,40,
11.9,1009.1,,208.7,,1613.7,51.8,82.4,345.2,,148,,1038,849,1124,1120,998,318,42,
12,1014.5,,216.4,,1612.1,43.6,82.2,345,,138,,1060,851,1148,1115,1010,312,46,
12.1,1023,,207.2,,1602.3,36.6,78.4,344.6,,129,,1060,872,1158,1118,1019,315,36,
12.2,1026.6,,213.8,,1596.6,31.6,79.6,334.6,,125,,1022,874,1165,1119,1024,315,24,
12.3,1035.7,,214.1,,1588.5,22.2,77,334.6,,116,,958,874,1184,1115,1025,315,26,
12.4,1045.8,,220.1,,1573,19.2,76,333.4,,103,,930,863,1204,1110,1026,326,11,
12.5,1057.5,,223.9,,1564.1,19,76,323.6,,96,,932,873,1217,1108,1029,324,8,
12.6,1066.3,,225.4,,1568.1,18.4,73.8,320.4,,91,,901,875,1248,1107,1029,312,8,
12.7,1070.9,,231.5,,1560.5,17.8,75.2,325.6,,89,,887,859,1283,1096,1027,314,13,
12.8,1073.3,,236,,1543.8,18,73,327.6,,84,,870,828,1294,1121,1026,330,6,
12.9,1078.9,,237.1,,1532.6,18,72.8,330.4,,84,,867,857,1295,1140,1024,327,11,
13,1079.3,,244.6,,1524.9,18.2,74.6,325,,79,,844,904,1308,1152,1021,333,10,
13.1,1078.8,,252.2,,1519.1,18.2,72.6,322.6,,69,,838,906,1299,1168,1019,330,7,
13.2,1075.2,,267.6,,1505.8,18.4,72.4,320,,72,,826,901,1264,1177,1015,316,7,
13.3,1067.7,,277.3,,1496.9,19,72,309.4,,71,,823,917,1275,1182,1029,324,19,
13.4,1055.6,,281.9,,1488.1,20.6,71.4,308.2,,66,,829,926,1269,1202,1040,330,31,
13.5,1057.3,,312.9,,1487.4,19.8,70,307.4,,65,,830,913,1270,1212,1041,331,30,
13.6,1066.4,,333.2,,1486.2,19.2,70.2,310.2,,63,,826,925,1250,1228,1047,330,43,
13.7,1078.7,,334.1,,1452.8,20,70,310.2,,64,,819,920,1242,1239,1048,337,46,
13.8,1091.9,,340.4,,1421.4,20.2,67,305,,62,,808,912,1236,1249,1046,322,40,
13.9,1100.2,,335,,1396.1,20.2,67.2,302.6,,61,,789,932,1224,1249,1050,315,53,
14,1107.5,,335.4,,1376.3,19.6,67,301,,59,,781,915,1207,1243,1056,320,57,
14.1,1121.4,,352.5,,1346.8,20.2,65.2,291.2,,58,,759,899,1198,1225,1071,329,65,
14.2,1126.4,,384.9,,1319.9,18.2,63.2,283.4,,57,,739,900,1190,1215,1095,335,79,
14.3,1122.1,,418.7,,1295.8,21,63.8,280.4,,58,,730,895,1178,1189,1105,340,104,
14.4,1122.9,,442.2,,1282.6,19.2,62.8,278.2,,63,,718,907,1163,1170,1126,331,125,
14.5,1124.9,,462.3,,1286.2,20.4,62.6,276.4,,63,,715,908,1163,1151,1147,334,122,
14.6,1131.3,,485.3,,1279.2,19.8,63.2,275.6,,57,,706,900,1162,1137,1152,335,141,
14.7,1131.5,,506.2,,1288.8,20,62.6,276.8,,54,,687,896,1147,1120,1165,324,152,
14.8,1128.3,,530.7,,1280.1,19.6,65.2,273,,54,,688,908,1142,1125,1170,323,166,
14.9,1131.4,,550.3,,1285,19,66.6,267.6,,54,,690,905,1132,1146,1174,324,170,
15,1136.9,,575.5,,1283.2,19.6,67.2,264.2,,53,,685,894,1129,1168,1177,325,167,
15.1,1132.5,,576.2,,1284.8,19,64.2,266.6,,51,,673,889,1127,1185,1184,325,173,
15.2,1127.7,,583.4,,1284.5,20.6,61.2,270,,51,,665,913,1130,1194,1185,325,164,
15.3,1126.1,,571,,1267,21.6,61.2,271.8,,51,,655,891,1131,1194,1190,323,152,
15.4,1121.6,,572.5,,1255.7,19.6,64.4,273.4,,51,,650,885,1137,1199,1188,326,126,
15.5,1113.2,,570.1,,1231.6,19.6,63.8,273.4,,48,,659,884,1138,1199,1188,328,102,
15.6,1108,,576.5,,1218.8,20.4,62,284.2,,46,,656,879,1145,1202,1186,342,93,
15.7,1106.9,,576,,1178.7,20,63.8,277.6,,45,,640,891,1159,1204,1202,343,70,
15.8,1106.2,,575.5,,1169,20.2,65,270.4,,45,,628,889,1155,1203,1223,328,45,
15.9,1106.9,,566.5,,1150.6,22.2,68.4,270.8,,46,,612,885,1176,1201,1228,337,39,
16,1117.7,,559.7,,1143,25.4,67.4,270.8,,45,,601,871,1145,1203,1249,336,37,
16.1,1129.1,,545.1,,1130.6,,64.2,266.2,,41,,598,870,1161,1213,1272,343,37,
16.2,1120.8,,532.3,,1096.7,,66.4,260.8,,41,,616,881,1166,1216,1286,342,54,
16.3,1118.2,,522.8,,1084.2,,66.4,260.4,,40,,598,869,1156,1212,1296,344,48,
16.4,1118,,514.3,,1082.3,,67.8,261.8,,38,,599,867,1175,1218,1303,346,47,
16.5,1128.6,,499.1,,1068.1,,64.6,266.8,,45,,601,857,1185,1223,1321,332,47,
16.6,1130.1,,495.3,,1045.1,,65.6,265,,45,,598,862,1172,1229,1325,330,42,
16.7,1122.4,,503.4,,1027.6,,66,264.2,,34,,593,860,1173,1236,1341,330,43,
16.8,1115.5,,537,,1016.1,,65.4,267.6,,36,,597,868,1157,1239,1355,329,50,
16.9,1106.4,,558.3,,983.9,,63.4,268.2,,36,,598,852,1144,1222,1361,331,58,
17,1107.5,,587.9,,947.8,,62.8,263.6,,36,,599,835,1138,1229,1371,331,57,
17.1,1110.9,,620.3,,942.9,,63,259.4,,37,,600,827,1144,1229,1386,330,58,
17.2,1103,,635.7,,928,,65.8,257.8,,35,,616,822,1144,1229,1387,336,47,
17.3,1095.3,,649,,910.1,,63.4,251.2,,32,,610,828,1143,1252,1386,336,54,
17.4,1089.4,,656.4,,890.1,,64.8,255.6,,27,,602,823,1151,1243,1387,338,63,
17.5,1085.8,,662.3,,882.8,,62.8,251.6,,27,,597,799,1165,1243,1386,333,92,
17.6,1091.9,,680.8,,878.4,,64.4,246.8,,28,,601,811,1174,1250,1397,335,117,
17.7,1086.7,,695.3,,872.4,,65,247.4,,27,,599,812,1175,1260,1395,344,137,
17.8,1079.3,,707.8,,859.5,,64.4,250.8,,26,,587,791,1185,1279,1396,337,135,
17.9,1067.3,,729,,859,,62.2,254,,26,,599,794,1168,1289,1403,336,148,
18,1050.6,,745.2,,864,,61.6,253.8,,26,,595,788,1183,1299,1400,338,171,
18.1,1060.2,,744.4,,863.8,,62,255.6,,25,,602,782,1180,1300,1378,339,175,
18.2,1066.5,,753.7,,848.7,,61.8,256,,24,,596,767,1188,1289,1363,343,177,
18.3,1071.1,,764.5,,835.8,,62.4,255.8,,24,,595,773,1208,1282,1352,358,160,
18.4,1081,,764.8,,833.9,,61.8,255.6,,21,,605,785,1221,1283,1319,372,159,
18.5,1087.2,,759.9,,825.7,,61.2,257.8,,21,,608,775,1200,1290,1312,395,168,
18.6,1096.9,,749.5,,821.5,,59,257,,21,,601,775,1173,1297,1299,394,179,
18.7,1098.1,,754.3,,813,,60.4,256.4,,21,,603,772,1180,1300,1272,404,183,
18.8,1097.6,,748.2,,805.1,,58.6,254.8,,20,,598,769,1155,1301,1252,410,190,
18.9,1092.7,,746.9,,796.9,,65.8,255,,21,,596,761,1148,1286,1235,414,191,
19,1092.5,,738.9,,795.1,,60.6,255.2,,20,,607,750,1130,1267,1228,427,187,
19.1,1097.5,,733.5,,,,58.2,255,,20,,605,747,1127,1277,1219,432,183,
19.2,1093.7,,727.8,,,,58.4,253.4,,19,,604,742,1104,1333,1238,452,177,
19.3,1092.4,,727.1,,,,57,256.4,,18,,607,731,1081,1336,1222,451,165,
19.4,1089.1,,721,,,,56.4,257.4,,17,,596,729,1061,1339,1210,436,162,
19.5,1083.8,,709,,,,57,253.6,,17,,597,723,1049,1345,1191,428,165,
19.6,1083.3,,690.8,,,,56,250.2,,19,,603,726,1039,1348,1202,423,167,
19.7,1077.4,,679.1,,,,56.4,251.8,,18,,606,724,1026,1347,1213,409,165,
19.8,1071.7,,669.1,,,,56,252.6,,19,,604,719,1008,1357,1210,421,160,
19.9,1068.9,,656.6,,,,54.8,252.8,,21,,586,714,994,1362,1227,426,152,
20,1062.6,,644.1,,,,56.6,254,,20,,603,715,983,1362,1259,422,133,
20.1,1057.7,,633.1,,,,56.8,253.6,,17,,606,712,962,1370,1269,428,128,
20.2,1050.8,,622.7,,,,57.6,249.8,,15,,606,698,954,1379,1276,431,132,
20.3,1043.1,,611.2,,,,58.6,254.6,,15,,625,691,930,1384,1289,437,144,
20.4,1035.8,,609.4,,,,57.2,254.6,,12,,630,695,917,1392,1286,429,138,
20.5,1031.2,,602.5,,,,56.6,253.6,,11,,619,685,903,1387,1331,434,130,
20.6,1024.6,,571.2,,,,56.4,258.8,,9,,618,680,899,1392,1336,433,132,
20.7,1016.7,,554.6,,,,56.6,264.8,,11,,597,677,897,1395,1338,436,124,
20.8,992.1,,539.3,,,,53.6,264.6,,10,,615,673,898,1403,1354,445,115,
20.9,998.4,,524.8,,,,57.8,250.4,,10,,622,668,894,1415,1376,453,118,
21,1009.1,,509.5,,,,56.6,250.6,,11,,637,662,900,1408,1374,447,125,
21.1,1015.4,,507.2,,,,56.2,249.6,,11,,609,655,916,1407,1369,454,126,
21.2,1017.9,,484.2,,,,54.8,250.2,,10,,612,652,916,1419,1345,458,109,
21.3,1028.7,,471.9,,,,54.8,259,,7,,621,644,920,1424,1340,461,103,
21.4,1025.8,,452,,,,57.6,255.2,,6,,607,642,930,1424,1348,473,109,
21.5,1028.4,,431.1,,,,,,,6,,631,637,942,1419,1378,475,111,
21.6,1034.6,,413.3,,,,,,,7,,630,635,947,1422,1373,480,104,
21.7,1036.5,,399.8,,,,,,,10,,632,634,973,1423,1344,473,88,
21.8,1024.8,,387.9,,,,,,,10,,640,632,985,1429,1340,482,68,
21.9,1015.2,,376.4,,,,,,,7,,625,630,1010,1429,1357,485,56,
22,1010.9,,362,,,,,,,3,,642,632,1026,1437,1368,489,52,
22.1,1003.5,,347.6,,,,,,,3,,639,642,1022,1444,1351,492,53,
22.2,993.4,,347.8,,,,,,,3,,628,645,1025,1446,1314,496,56,
22.3,988.9,,341.4,,,,,,,4,,615,639,1021,1449,1290,501,73,
22.4,984.4,,337.2,,,,,,,-1,,615,623,1015,1453,1290,518,72,
22.5,976.6,,335.1,,,,,,,-1,,592,617,1022,1458,1307,528,52,
22.6,973.7,,334.9,,,,,,,-1,,639,619,1025,1469,1337,547,47,
22.7,968,,330.6,,,,,,,3,,612,616,1011,1475,1345,557,44,
22.8,960.9,,331.2,,,,,,,-1,,614,619,1011,1483,1340,575,29,
22.9,960.8,,327.4,,,,,,,1,,613,620,996,1509,1347,576,30,
23,958.9,,319.3,,,,,,,1,,610,614,986,1545,1323,591,29,
